node1  | [13:17:39] [node1] PBFT COMMIT seq=54 value=transfer (quorum 3/5, Byzantine-safe)
node1  | [13:17:39] [node1] LEDGER append seq=54 -> /data/node1.log
node1  | [13:17:39] [node1] PBFT PREPARED seq=55 -> broadcasting COMMIT
node1  | [13:17:39] [node1] PBFT COMMIT seq=55 value=transfer (quorum 3/5, Byzantine-safe)
node1  | [13:17:39] [node1] LEDGER append seq=55 -> /data/node1.log
node1  | [13:17:40] [node1] PBFT PREPARED seq=56 -> broadcasting COMMIT
node1  | [13:17:40] [node1] PBFT COMMIT seq=56 value=transfer (quorum 3/5, Byzantine-safe)
node1  | [13:17:40] [node1] LEDGER append seq=56 -> /data/node1.log
node1  | [13:17:40] [node1] PBFT PREPARED seq=57 -> broadcasting COMMIT
node1  | [13:17:40] [node1] PBFT COMMIT seq=57 value=transfer (quorum 3/5, Byzantine-safe)
node1  | [13:17:40] [node1] LEDGER append seq=57 -> /data/node1.log
node1  | [13:17:40] [node1] PBFT PREPARED seq=58 -> broadcasting COMMIT
node1  | [13:17:40] [node1] PBFT COMMIT seq=58 value=transfer (quorum 3/5, Byzantine-safe)
node1  | [13:17:40] [node1] LEDGER append seq=58 -> /data/node1.log
node1  | [13:17:41] [node1] PBFT PREPARED seq=59 -> broadcasting COMMIT
node1  | [13:17:41] [node1] PBFT COMMIT seq=59 value=transfer (quorum 3/5, Byzantine-safe)
node1  | [13:17:41] [node1] LEDGER append seq=59 -> /data/node1.log
node1  | [13:17:41] [node1] PBFT PREPARED seq=60 -> broadcasting COMMIT
node1  | [13:17:41] [node1] PBFT COMMIT seq=60 value=transfer (quorum 3/5, Byzantine-safe)
node1  | [13:17:41] [node1] LEDGER append seq=60 -> /data/node1.log
node1  | [13:17:41] [node1] PBFT PREPARED seq=61 -> broadcasting COMMIT
node1  | [13:17:41] [node1] PBFT COMMIT seq=61 value=transfer (quorum 3/5, Byzantine-safe)
node1  | [13:17:41] [node1] LEDGER append seq=61 -> /data/node1.log
node1  | [13:17:42] [node1] PBFT PREPARED seq=62 -> broadcasting COMMIT
node1  | [13:17:42] [node1] PBFT COMMIT seq=62 value=transfer (quorum 3/5, Byzantine-safe)
node1  | [13:17:42] [node1] LEDGER append seq=62 -> /data/node1.log
node1  | [13:17:42] [node1] PBFT PREPARED seq=63 -> broadcasting COMMIT
node1  | [13:17:42] [node1] PBFT COMMIT seq=63 value=transfer (quorum 3/5, Byzantine-safe)
node1  | [13:17:42] [node1] LEDGER append seq=63 -> /data/node1.log
node1  | [13:17:42] [node1] PBFT PREPARED seq=64 -> broadcasting COMMIT
node1  | [13:17:42] [node1] PBFT COMMIT seq=64 value=transfer (quorum 3/5, Byzantine-safe)
node1  | [13:17:42] [node1] LEDGER append seq=64 -> /data/node1.log
node1  | [13:17:43] [node1] PBFT PREPARED seq=65 -> broadcasting COMMIT
node1  | [13:17:43] [node1] PBFT COMMIT seq=65 value=transfer (quorum 3/5, Byzantine-safe)
node1  | [13:17:43] [node1] LEDGER append seq=65 -> /data/node1.log
node1  | [13:17:43] [node1] PBFT PREPARED seq=66 -> broadcasting COMMIT
node1  | [13:17:43] [node1] PBFT COMMIT seq=66 value=transfer (quorum 3/5, Byzantine-safe)
node1  | [13:17:43] [node1] LEDGER append seq=66 -> /data/node1.log
node1  | [13:17:44] [node1] PBFT PREPARED seq=67 -> broadcasting COMMIT
node1  | [13:17:44] [node1] PBFT COMMIT seq=67 value=transfer (quorum 3/5, Byzantine-safe)
node1  | [13:17:44] [node1] LEDGER append seq=67 -> /data/node1.log
node1  | [13:17:44] [node1] PBFT PREPARED seq=68 -> broadcasting COMMIT
node1  | [13:17:44] [node1] PBFT COMMIT seq=68 value=transfer (quorum 3/5, Byzantine-safe)
node1  | [13:17:44] [node1] LEDGER append seq=68 -> /data/node1.log
node1  | [13:17:44] [node1] PBFT PREPARED seq=69 -> broadcasting COMMIT
