node2  | [12:24:34] [node2] LEDGER append seq=221 -> /data/node2.log
node2  | [12:24:34] [node2] PAXOS LEARN/DECIDE slot=222 value=transfer
node2  | [12:24:34] [node2] LEDGER append seq=222 -> /data/node2.log
node2  | [12:24:35] [node2] PAXOS LEARN/DECIDE slot=223 value=transfer
node2  | [12:24:35] [node2] LEDGER append seq=223 -> /data/node2.log
node2  | [12:24:35] [node2] PAXOS LEARN/DECIDE slot=224 value=transfer
node2  | [12:24:35] [node2] LEDGER append seq=224 -> /data/node2.log
node2  | [12:24:35] [node2] PAXOS LEARN/DECIDE slot=225 value=transfer
node2  | [12:24:35] [node2] LEDGER append seq=225 -> /data/node2.log
node2  | [12:24:36] [node2] PAXOS LEARN/DECIDE slot=226 value=transfer
node2  | [12:24:36] [node2] LEDGER append seq=226 -> /data/node2.log
node2  | [12:24:36] [node2] PAXOS LEARN/DECIDE slot=227 value=transfer
node2  | [12:24:36] [node2] LEDGER append seq=227 -> /data/node2.log
node2  | [12:24:37] [node2] PAXOS LEARN/DECIDE slot=228 value=transfer
node2  | [12:24:37] [node2] LEDGER append seq=228 -> /data/node2.log
node2  | [12:24:37] [node2] PAXOS LEARN/DECIDE slot=229 value=transfer
node2  | [12:24:37] [node2] LEDGER append seq=229 -> /data/node2.log
node2  | [12:24:37] [node2] PAXOS LEARN/DECIDE slot=230 value=transfer
node2  | [12:24:37] [node2] LEDGER append seq=230 -> /data/node2.log
node2  | [12:24:38] [node2] PAXOS LEARN/DECIDE slot=231 value=transfer
node2  | [12:24:38] [node2] LEDGER append seq=231 -> /data/node2.log
node2  | [12:24:38] [node2] PAXOS LEARN/DECIDE slot=232 value=transfer
node2  | [12:24:38] [node2] LEDGER append seq=232 -> /data/node2.log
node2  | [12:24:38] [node2] PAXOS LEARN/DECIDE slot=233 value=transfer
node2  | [12:24:38] [node2] LEDGER append seq=233 -> /data/node2.log
node2  | [12:24:39] [node2] PAXOS LEARN/DECIDE slot=234 value=transfer
node2  | [12:24:39] [node2] LEDGER append seq=234 -> /data/node2.log
node2  | [12:24:39] [node2] PAXOS LEARN/DECIDE slot=235 value=transfer
node2  | [12:24:39] [node2] LEDGER append seq=235 -> /data/node2.log
node2  | [12:24:40] [node2] PAXOS LEARN/DECIDE slot=236 value=transfer
node2  | [12:24:40] [node2] LEDGER append seq=236 -> /data/node2.log
node2  | [12:24:40] [node2] PAXOS LEARN/DECIDE slot=237 value=transfer
node2  | [12:24:40] [node2] LEDGER append seq=237 -> /data/node2.log
node2  | [12:24:40] [node2] PAXOS LEARN/DECIDE slot=238 value=transfer
node2  | [12:24:40] [node2] LEDGER append seq=238 -> /data/node2.log
node2  | [12:24:41] [node2] PAXOS LEARN/DECIDE slot=239 value=transfer
node2  | [12:24:41] [node2] LEDGER append seq=239 -> /data/node2.log
node2  | [12:24:41] [node2] PAXOS LEARN/DECIDE slot=240 value=transfer
node2  | [12:24:41] [node2] LEDGER append seq=240 -> /data/node2.log
node2  | [12:24:42] [node2] PAXOS LEARN/DECIDE slot=241 value=transfer
node2  | [12:24:42] [node2] LEDGER append seq=241 -> /data/node2.log
node2  | [12:24:42] [node2] PAXOS LEARN/DECIDE slot=242 value=transfer
node2  | [12:24:42] [node2] LEDGER append seq=242 -> /data/node2.log
node2  | [12:24:42] [node2] PAXOS LEARN/DECIDE slot=243 value=transfer
node3  | [12:24:38] [node3] PAXOS LEARN/DECIDE slot=232 value=transfer
node3  | [12:24:38] [node3] LEDGER append seq=232 -> /data/node3.log
node3  | [12:24:38] [node3] PAXOS LEARN/DECIDE slot=233 value=transfer
node3  | [12:24:38] [node3] LEDGER append seq=233 -> /data/node3.log
node3  | [12:24:39] [node3] PAXOS LEARN/DECIDE slot=234 value=transfer
node3  | [12:24:39] [node3] LEDGER append seq=234 -> /data/node3.log
node3  | [12:24:39] [node3] PAXOS LEARN/DECIDE slot=235 value=transfer
node3  | [12:24:39] [node3] LEDGER append seq=235 -> /data/node3.log
node3  | [12:24:40] [node3] PAXOS LEARN/DECIDE slot=236 value=transfer
node3  | [12:24:40] [node3] LEDGER append seq=236 -> /data/node3.log
node3  | [12:24:40] [node3] PAXOS LEARN/DECIDE slot=237 value=transfer
node3  | [12:24:40] [node3] LEDGER append seq=237 -> /data/node3.log
node3  | [12:24:40] [node3] PAXOS LEARN/DECIDE slot=238 value=transfer
node3  | [12:24:40] [node3] LEDGER append seq=238 -> /data/node3.log
node3  | [12:24:41] [node3] PAXOS LEARN/DECIDE slot=239 value=transfer
node3  | [12:24:41] [node3] LEDGER append seq=239 -> /data/node3.log
node3  | [12:24:41] [node3] PAXOS LEARN/DECIDE slot=240 value=transfer
node3  | [12:24:41] [node3] LEDGER append seq=240 -> /data/node3.log
node3  | [12:24:42] [node3] PAXOS LEARN/DECIDE slot=241 value=transfer
node3  | [12:24:42] [node3] LEDGER append seq=241 -> /data/node3.log
node3  | [12:24:42] [node3] PAXOS LEARN/DECIDE slot=242 value=transfer
node3  | [12:24:42] [node3] LEDGER append seq=242 -> /data/node3.log
node3  | [12:24:42] [node3] PAXOS LEARN/DECIDE slot=243 value=transfer
node3  | [12:24:42] [node3] LEDGER append seq=243 -> /data/node3.log
node3  | [12:24:43] [node3] PAXOS LEARN/DECIDE slot=244 value=transfer
node3  | [12:24:43] [node3] LEDGER append seq=244 -> /data/node3.log
node3  | [12:24:43] [node3] PAXOS LEARN/DECIDE slot=245 value=transfer
node3  | [12:24:43] [node3] LEDGER append seq=245 -> /data/node3.log
node3  | [12:24:43] [node3] PAXOS LEARN/DECIDE slot=246 value=transfer
node3  | [12:24:43] [node3] LEDGER append seq=246 -> /data/node3.log
node3  | [12:24:44] [node3] PAXOS LEARN/DECIDE slot=247 value=transfer
node3  | [12:24:44] [node3] LEDGER append seq=247 -> /data/node3.log
