node3  | [12:47:53] [node3] PAXOS COMMIT slot=706 value=transfer (majority 3/5)
node3  | [12:47:53] [node3] LEDGER append seq=706 -> /data/node3.log
node3  | [12:47:53] [node3] PAXOS COMMIT slot=707 value=transfer (majority 3/5)
node5  | [12:48:01] [node5] PAXOS LEARN/DECIDE slot=730 value=transfer
node5  | [12:48:01] [node5] LEDGER append seq=730 -> /data/node5.log
node5  | [12:48:02] [node5] PAXOS LEARN/DECIDE slot=731 value=transfer
node5  | [12:48:02] [node5] LEDGER append seq=731 -> /data/node5.log
node5  | [12:48:02] [node5] PAXOS LEARN/DECIDE slot=732 value=transfer
node5  | [12:48:02] [node5] LEDGER append seq=732 -> /data/node5.log
node5  | [12:48:02] [node5] PAXOS LEARN/DECIDE slot=733 value=transfer
node5  | [12:48:02] [node5] LEDGER append seq=733 -> /data/node5.log
node5  | [12:48:03] [node5] PAXOS LEARN/DECIDE slot=734 value=transfer
node5  | [12:48:03] [node5] LEDGER append seq=734 -> /data/node5.log
node3  | [12:47:53] [node3] LEDGER append seq=707 -> /data/node3.log
node3  | [12:47:53] [node3] PAXOS COMMIT slot=708 value=transfer (majority 3/5)
node3  | [12:47:53] [node3] LEDGER append seq=708 -> /data/node3.log
node3  | [12:47:53] [node3] PAXOS COMMIT slot=709 value=transfer (majority 3/5)
node3  | [12:47:54] [node3] LEDGER append seq=709 -> /data/node3.log
node3  | [12:47:54] [node3] PAXOS COMMIT slot=710 value=transfer (majority 3/5)
node3  | [12:47:54] [node3] LEDGER append seq=710 -> /data/node3.log
node3  | [12:47:54] [node3] PAXOS COMMIT slot=711 value=transfer (majority 3/5)
node3  | [12:47:54] [node3] LEDGER append seq=711 -> /data/node3.log
node3  | [12:47:55] [node3] PAXOS COMMIT slot=712 value=transfer (majority 3/5)
node3  | [12:47:55] [node3] LEDGER append seq=712 -> /data/node3.log
node3  | [12:47:55] [node3] PAXOS COMMIT slot=713 value=transfer (majority 3/5)
node3  | [12:47:55] [node3] LEDGER append seq=713 -> /data/node3.log
node3  | [12:47:55] [node3] PAXOS COMMIT slot=714 value=transfer (majority 3/5)
node3  | [12:47:55] [node3] LEDGER append seq=714 -> /data/node3.log
node3  | [12:47:56] [node3] PAXOS COMMIT slot=715 value=transfer (majority 3/5)
